payment_id,loan_id,bulan_ke,tanggal_jatuh_tempo,tanggal_bayar,jumlah_angsuran,jumlah_dibayar,denda,status_pembayaran,hari_keterlambatan
PAY0000034,LN000012,7,2024-04-07,2024-04-07,1630000,1630000,0,On Time,0
PAY0000035,LN000012,8,2024-05-07,2024-05-06,Rp 1630000,1630000,0,Tepat Waktu,0
PAY0000036,LN000012,9,2024-06-06,2024-07-05,1630000,1680000,50000,Terlambat,29
PAY0000037,LN000012,10,2024-07-06,2024-07-04,1630000,1630000,0,On Time,0
PAY0000038,LN000012,11,2024-08-05,2024-08-01,1630000,1630000,0,TEPAT WAKTU,0
PAY0000039,LN000012,12,2024-09-04,2024-09-26,1630000,1687000,57000,TERLAMBAT,22
PAY0000040,LN000014,1,2025-01-20,2025-01-16,7266000,7266000,0,tepat waktu,0
PAY0000041,LN000014,2,2025-02-19,2025-02-15,7266000,7266000,0,tepat waktu,0
PAY0000042,LN000014,3,2025-03-21,2025-03-16,7266000,7266000,0,Tepat Waktu,0
PAY0000043,LN000016,1,2023-05-02,2023-05-02,540000,540000,0,Tepat Waktu,0
PAY0000044,LN000016,2,2023-06-01,2023-05-31,540000,540000,0,tepat waktu,0
PAY0000045,LN000016,3,2023-07-01,2023-06-26,540000,IDR 540000,0,tepat waktu,0
PAY0000046,LN000016,4,2023-07-31,2023-07-30,540000,540000,0,On Time,0
PAY0000047,LN000016,5,2023-08-30,2023-08-28,540000,540000,0,On Time,0
PAY0000048,LN000016,6,2023-09-29,2023-09-26,540000,540000,0,Tepat Waktu,0
PAY0000049,LN000016,7,2023-10-29,2023-10-26,540000,540000,0,Tepat Waktu,0
PAY0000050,LN000017,1,2023-03-30,,Rp. 184000,Rp. 0,16000,gagal bayar,178
PAY0000051,LN000017,2,2023-04-29,2023-04-30,Rp 184000,191000,7000,terlambat,1
PAY0000052,LN000017,3,2023-05-29,,184000,49000,17000,GAGAL BAYAR,39
PAY0000053,LN000017,4,2023-06-28,2023-07-01,184000,Rp 190000,6000,Terlambat,3
PAY0000054,LN000017,5,2023-07-28,2023-08-20,184000,192000,8000,TERLAMBAT,23
PAY0000055,LN000017,6,2023-08-27,,184000,0,10000,GAGAL BAYAR,54
PAY0000056,LN000017,7,2023-09-26,,184000,Rp 28000,16000,GAGAL BAYAR,70
PAY0000057,LN000017,8,2023-10-26,2023-11-04,184000,188000,4000,Late,9
PAY0000058,LN000017,9,2023-11-25,,Rp. 184000,0,14000,Default,80
PAY0000059,LN000019,1,2025-11-30,2025-12-26,Rp9845000,10168000,323000,Terlambat,26
PAY0000060,LN000019,2,2025-12-30,2025-12-25,9845000,9845000,0,Tepat Waktu,0
PAY0000061,LN000019,3,2026-01-29,2026-03-02,9845000,9980000,135000,terlambat,32
PAY0000062,LN000019,4,2026-02-28,2026-02-28,9845000,Rp. 9845000,0,On Time,0
PAY0000063,LN000019,5,2026-03-30,,9845000,4561000,613000,Default,177
PAY0000064,LN000019,6,2026-04-29,2026-04-26,9845000,9845000,0,Tepat Waktu,0
PAY0000065,LN000022,1,2024-08-25,,Rp 6028000,1289000,504000,Gagal Bayar,97
PAY0000066,LN000022,2,2024-09-24,2024-09-22,6028000,6028000,0,tepat waktu,0
PAY0000067,LN000022,3,2024-10-24,2024-10-20,6028000,6028000,0,TEPAT WAKTU,0
PAY0000068,LN000022,4,2024-11-23,2024-11-19,6028000,6028000,0,tepat waktu,0
PAY0000069,LN000022,5,2024-12-23,2024-12-18,Rp 6028000,6028000,0,TEPAT WAKTU,0
PAY0000070,LN000022,6,2025-01-22,2025-01-18,6028000,6028000,0,tepat waktu,0
PAY0000071,LN000024,1,2023-10-07,2023-10-07,5180000,5180000,0,tepat waktu,0
PAY0000072,LN000024,2,2023-11-06,2023-11-01,IDR 5180000,5180000,0,tepat waktu,0
PAY0000073,LN000024,3,2023-12-06,2023-12-03,5180000,5180000,0,TEPAT WAKTU,0
PAY0000074,LN000024,4,2024-01-05,2023-12-31,5180000,5180000,0,TEPAT WAKTU,0
PAY0000075,LN000029,1,2025-04-27,2025-05-31,1580000,1623000,43000,TERLAMBAT,34
PAY0000076,LN000029,2,2025-05-27,,1580000,192000,154000,Default,63
PAY0000077,LN000029,3,2025-06-26,2025-08-05,1580000,1626000,46000,terlambat,40
PAY0000078,LN000029,4,2025-07-26,2025-08-14,1580000,1602000,22000,Terlambat,19
PAY0000079,LN000029,5,2025-08-25,2025-08-21,1580000,1580000,0,TEPAT WAKTU,0
PAY0000080,LN000029,6,2025-09-24,,Rp 1580000,0,125000,gagal bayar,93
PAY0000081,LN000036,1,2024-04-15,2024-04-14,5214000,5214000,0,On Time,0
PAY0000082,LN000036,2,2024-05-15,,Rp 5214000,0,335000,Default,48
PAY0000083,LN000037,1,2024-08-15,2024-08-15,5618000,5618000,0,TEPAT WAKTU,0
PAY0000084,LN000037,2,2024-09-14,2024-09-09,5618000,5618000,0,TEPAT WAKTU,0
PAY0000085,LN000037,3,2024-10-14,,5618000,0,361000,Default,97
PAY0000086,LN000037,4,2024-11-13,2024-11-09,5618000,5618000,0,tepat waktu,0
PAY0000087,LN000037,5,2024-12-13,2024-12-08,IDR 5618000,5618000,0,TEPAT WAKTU,0
PAY0000088,LN000037,6,2025-01-12,2025-01-09,5618000,5618000,0,TEPAT WAKTU,0
PAY0000089,LN000037,7,2025-02-11,2025-03-23,5618000,5679000,61000,Terlambat,40
PAY0000090,LN000037,8,2025-03-13,2025-03-12,Rp 5618000,Rp5618000,0,Tepat Waktu,0
PAY0000091,LN000037,9,2025-04-12,2025-04-10,5618000,Rp5618000,0,Tepat Waktu,0
PAY0000092,LN000037,10,2025-05-12,2025-05-10,5618000,5618000,0,tepat waktu,0
PAY0000093,LN000038,1,2025-10-22,2025-10-19,Rp 4722000,Rp 4722000,0,Tepat Waktu,0
PAY0000094,LN000038,2,2025-11-21,2025-11-17,4722000,4722000,0,Tepat Waktu,0
PAY0000095,LN000038,3,2025-12-21,2025-12-20,4722000,IDR 4722000,0,On Time,0
PAY0000096,LN000038,4,2026-01-20,2026-01-18,4722000,4722000,0,tepat waktu,0
PAY0000097,LN000038,5,2026-02-19,2026-02-17,4722000,Rp 4722000,0,On Time,0
PAY0000098,LN000038,6,2026-03-21,2026-03-21,4722000,4722000,0,On Time,0
PAY0000099,LN000038,7,2026-04-20,2026-04-15,4722000,IDR 4722000,0,On Time,0
PAY0000100,LN000038,8,2026-05-20,2026-05-18,Rp. 4722000,4722000,0,tepat waktu,0
PAY0000101,LN000044,1,2023-06-20,2023-07-18,Rp. 7461000,7785000,324000,Terlambat,28
PAY0000102,LN000044,2,2023-07-20,,7461000,IDR 1643000,473000,GAGAL BAYAR,180
PAY0000103,LN000044,3,2023-08-19,2023-09-25,Rp. 7461000,7581000,120000,Terlambat,37
PAY0000104,LN000044,4,2023-09-18,2023-09-16,Rp7461000,7461000,0,TEPAT WAKTU,0
PAY0000105,LN000044,5,2023-10-18,2023-10-16,7461000,7461000,0,On Time,0
PAY0000106,LN000044,6,2023-11-17,,7461000,Rp 1824000,647000,Default,79
PAY0000107,LN000044,7,2023-12-17,2024-01-01,7461000,7557000,96000,Late,15
PAY0000108,LN000044,8,2024-01-16,2024-02-10,7461000,7798000,337000,Terlambat,25
PAY0000109,LN000044,9,2024-02-15,,7461000,0,426000,gagal bayar,35
PAY0000110,LN000044,10,2024-03-16,,7461000,2012000,704000,Default,163
PAY0000111,LN000048,1,2023-05-21,2023-06-13,Rp15898000,16134000,236000,Terlambat,23
PAY0000112,LN000049,1,2023-09-12,2023-09-11,Rp1075000,1075000,0,TEPAT WAKTU,0
PAY0000113,LN000049,2,2023-10-12,2023-11-13,1075000,1122000,47000,terlambat,32
PAY0000114,LN000049,3,2023-11-11,2023-11-08,1075000,1075000,0,tepat waktu,0
PAY0000115,LN000049,4,2023-12-11,2023-12-08,1075000,1075000,0,On Time,0
PAY0000116,LN000049,5,2024-01-10,2024-01-09,1075000,1075000,0,On Time,0
PAY0000117,LN000049,6,2024-02-09,2024-02-09,Rp 1075000,1075000,0,tepat waktu,0
PAY0000118,LN000051,1,2025-01-01,2024-12-31,1801000,Rp1801000,0,Tepat Waktu,0
PAY0000119,LN000051,2,2025-01-31,2025-01-28,1801000,1801000,0,TEPAT WAKTU,0
PAY0000120,LN000051,3,2025-03-02,2025-03-22,1801000,1837000,36000,Terlambat,20
PAY0000121,LN000051,4,2025-04-01,2025-03-28,1801000,1801000,0,On Time,0
PAY0000122,LN000051,5,2025-05-01,2025-04-29,1801000,1801000,0,Tepat Waktu,0
PAY0000123,LN000051,6,2025-05-31,,1801000,Rp 0,159000,GAGAL BAYAR,144
PAY0000124,LN000051,7,2025-06-30,2025-06-29,1801000,1801000,0,TEPAT WAKTU,0
PAY0000125,LN000051,8,2025-07-30,2025-07-27,Rp 1801000,1801000,0,tepat waktu,0
PAY0000126,LN000051,9,2025-08-29,2025-08-24,1801000,1801000,0,tepat waktu,0
PAY0000127,LN000051,10,2025-09-28,2025-09-24,1801000,Rp1801000,0,Tepat Waktu,0
PAY0000128,LN000051,11,2025-10-28,2025-10-24,Rp1801000,1801000,0,TEPAT WAKTU,0
PAY0000129,LN000052,1,2024-11-04,2024-11-04,3225000,3225000,0,On Time,0
PAY0000130,LN000052,2,2024-12-04,2024-12-04,3225000,3225000,0,Tepat Waktu,0
PAY0000131,LN000052,3,2025-01-03,2025-01-02,3225000,Rp 3225000,0,Tepat Waktu,0
PAY0000132,LN000052,4,2025-02-02,2025-02-01,3225000,3225000,0,On Time,0
PAY0000133,LN000052,5,2025-03-04,2025-03-02,3225000,3225000,0,On Time,0
PAY0000134,LN000052,6,2025-04-03,2025-03-31,3225000,3225000,0,On Time,0
PAY0000135,LN000052,7,2025-05-03,2025-05-01,Rp3225000,Rp 3225000,0,Tepat Waktu,0
PAY0000136,LN000054,1,2024-06-02,2024-05-29,Rp 21623000,21623000,0,tepat waktu,0
PAY0000137,LN000054,2,2024-07-02,2024-07-02,21623000,21623000,0,On Time,0
PAY0000138,LN000054,3,2024-08-01,2024-07-31,Rp21623000,21623000,0,Tepat Waktu,0
PAY0000139,LN000054,4,2024-08-31,2024-09-07,21623000,22564000,941000,Late,7
PAY0000140,LN000054,5,2024-09-30,2024-09-30,21623000,21623000,0,TEPAT WAKTU,0
PAY0000141,LN000054,6,2024-10-30,2024-10-26,Rp 21623000,21623000,0,Tepat Waktu,0
PAY0000142,LN000054,7,2024-11-29,2024-11-26,Rp. 21623000,IDR 21623000,0,On Time,0
PAY0000143,LN000055,1,2023-08-15,2023-08-15,1515000,1515000,0,Tepat Waktu,0
PAY0000144,LN000055,2,2023-09-14,2023-09-14,1515000,Rp 1515000,0,On Time,0
PAY0000145,LN000057,1,2025-04-05,2025-04-01,Rp 3143000,Rp3143000,0,On Time,0
PAY0000146,LN000057,2,2025-05-05,2025-05-01,3143000,3143000,0,On Time,0
PAY0000147,LN000057,3,2025-06-04,2025-05-30,IDR 3143000,3143000,0,TEPAT WAKTU,0
PAY0000148,LN000057,4,2025-07-04,2025-07-04,3143000,3143000,0,Tepat Waktu,0
PAY0000149,LN000057,5,2025-08-03,2025-08-01,3143000,3143000,0,tepat waktu,0
PAY0000150,LN000057,6,2025-09-02,2025-08-29,IDR 3143000,3143000,0,On Time,0
PAY0000151,LN000057,7,2025-10-02,2025-09-30,3143000,3143000,0,tepat waktu,0
PAY0000152,LN000057,8,2025-11-01,2025-10-31,3143000,3143000,0,On Time,0
PAY0000153,LN000061,1,2024-04-14,2024-04-13,13490000,13490000,0,tepat waktu,0
PAY0000154,LN000061,2,2024-05-14,2024-05-29,13490000,Rp 13631000,141000,Late,15
PAY0000155,LN000061,3,2024-06-13,2024-06-11,13490000,13490000,0,TEPAT WAKTU,0
PAY0000156,LN000061,4,2024-07-13,2024-07-12,13490000,13490000,0,tepat waktu,0
PAY0000157,LN000061,5,2024-08-12,2024-08-11,13490000,Rp13490000,0,TEPAT WAKTU,0
PAY0000158,LN000061,6,2024-09-11,2024-09-06,13490000,Rp 13490000,0,Tepat Waktu,0
PAY0000159,LN000061,7,2024-10-11,2024-10-07,Rp. 13490000,13490000,0,On Time,0
PAY0000160,LN000061,8,2024-11-10,2024-11-06,13490000,13490000,0,Tepat Waktu,0
PAY0000161,LN000061,9,2024-12-10,2024-12-07,Rp 13490000,13490000,0,Tepat Waktu,0
PAY0000162,LN000062,1,2024-10-26,2024-10-21,Rp. 1122000,1122000,0,tepat waktu,0
PAY0000163,LN000062,2,2024-11-25,2024-11-23,1122000,1122000,0,tepat waktu,0
PAY0000164,LN000062,3,2024-12-25,2024-12-21,Rp1122000,IDR 1122000,0,Tepat Waktu,0
PAY0000165,LN000062,4,2025-01-24,2025-01-20,1122000,1122000,0,On Time,0
PAY0000166,LN000062,5,2025-02-23,2025-02-25,1122000,1134000,12000,TERLAMBAT,2
PAY0000167,LN000062,6,2025-03-25,2025-03-23,1122000,1122000,0,TEPAT WAKTU,0
PAY0000168,LN000062,7,2025-04-24,2025-04-20,Rp 1122000,Rp1122000,0,tepat waktu,0
PAY0000169,LN000062,8,2025-05-24,2025-05-23,1122000,1122000,0,Tepat Waktu,0
PAY0000170,LN000062,9,2025-06-23,,1122000,0,91000,Gagal Bayar,71
PAY0000171,LN000062,10,2025-07-23,2025-07-19,1122000,1122000,0,Tepat Waktu,0
PAY0000172,LN000065,1,2025-05-30,2025-05-26,Rp 5059000,5059000,0,TEPAT WAKTU,0
PAY0000173,LN000065,2,2025-06-29,2025-06-29,5059000,5059000,0,On Time,0
PAY0000174,LN000065,3,2025-07-29,2025-07-26,5059000,5059000,0,TEPAT WAKTU,0
PAY0000175,LN000065,4,2025-08-28,2025-08-28,5059000,5059000,0,Tepat Waktu,0
PAY0000176,LN000065,5,2025-09-27,2025-09-27,5059000,5059000,0,TEPAT WAKTU,0
PAY0000177,LN000065,6,2025-10-27,2025-10-25,5059000,Rp 5059000,0,On Time,0
PAY0000178,LN000065,7,2025-11-26,2025-11-21,5059000,5059000,0,On Time,0
PAY0000179,LN000065,8,2025-12-26,2025-12-26,Rp 5059000,Rp 5059000,0,Tepat Waktu,0
PAY0000180,LN000065,9,2026-01-25,2026-01-20,5059000,5059000,0,Tepat Waktu,0
PAY0000181,LN000065,10,2026-02-24,2026-02-20,5059000,5059000,0,tepat waktu,0
PAY0000182,LN000065,11,2026-03-26,2026-03-22,5059000,5059000,0,On Time,0
PAY0000183,LN000069,1,2023-07-06,2023-07-06,3072000,3072000,0,TEPAT WAKTU,0
PAY0000184,LN000069,2,2023-08-05,2023-08-19,3072000,3125000,53000,Terlambat,14
PAY0000185,LN000069,3,2023-09-04,2023-09-03,3072000,3072000,0,tepat waktu,0
PAY0000186,LN000069,4,2023-10-04,2023-09-30,3072000,3072000,0,On Time,0
PAY0000187,LN000069,5,2023-11-03,2023-12-05,3072000,3188000,116000,TERLAMBAT,32
PAY0000188,LN000072,1,2024-06-11,2024-06-07,Rp. 3870000,3870000,0,TEPAT WAKTU,0
PAY0000189,LN000072,2,2024-07-11,2024-07-28,3870000,3939000,69000,terlambat,17
PAY0000190,LN000072,3,2024-08-10,2024-08-06,3870000,Rp3870000,0,TEPAT WAKTU,0
PAY0000191,LN000072,4,2024-09-09,2024-10-01,3870000,3983000,113000,TERLAMBAT,22
PAY0000192,LN000072,5,2024-10-09,,Rp. 3870000,546000,384000,Default,93
PAY0000193,LN000072,6,2024-11-08,2024-11-04,3870000,3870000,0,tepat waktu,0
PAY0000194,LN000072,7,2024-12-08,2024-12-06,3870000,3870000,0,tepat waktu,0
PAY0000195,LN000072,8,2025-01-07,,3870000,Rp0,247000,gagal bayar,94
PAY0000196,LN000072,9,2025-02-06,,3870000,1622000,347000,Gagal Bayar,140
PAY0000197,LN000072,10,2025-03-08,,3870000,1759000,197000,GAGAL BAYAR,137
PAY0000198,LN000072,11,2025-04-07,,3870000,Rp. 0,387000,GAGAL BAYAR,108
PAY0000199,LN000076,1,2024-04-30,2024-04-25,1814000,1814000,0,tepat waktu,0
PAY0000200,LN000077,1,2023-07-20,2023-07-16,5185000,Rp. 5185000,0,tepat waktu,0
PAY0000201,LN000077,2,2023-08-19,2023-09-17,5185000,5242000,57000,TERLAMBAT,29
PAY0000202,LN000077,3,2023-09-18,2023-10-18,5185000,5387000,202000,TERLAMBAT,30
PAY0000203,LN000077,4,2023-10-18,2023-10-17,5185000,Rp5185000,0,tepat waktu,0
PAY0000204,LN000077,5,2023-11-17,2023-11-12,5185000,5185000,0,On Time,0
PAY0000205,LN000077,6,2023-12-17,2023-12-17,Rp 5185000,5185000,0,tepat waktu,0
PAY0000206,LN000081,1,2023-11-14,2023-11-16,IDR 787000,826000,39000,Terlambat,2
PAY0000207,LN000081,2,2023-12-14,2024-01-02,787000,824000,37000,Late,19
PAY0000208,LN000081,3,2024-01-13,2024-02-17,787000,IDR 811000,24000,Late,35
PAY0000209,LN000081,4,2024-02-12,2024-02-09,787000,787000,0,On Time,0
PAY0000210,LN000081,5,2024-03-13,2024-03-13,787000,787000,0,TEPAT WAKTU,0
PAY0000211,LN000081,6,2024-04-12,2024-04-11,787000,787000,0,Tepat Waktu,0
PAY0000212,LN000081,7,2024-05-12,2024-05-07,Rp. 787000,787000,0,tepat waktu,0
PAY0000213,LN000081,8,2024-06-11,,787000,352000,71000,gagal bayar,114
PAY0000214,LN000081,9,2024-07-11,2024-07-08,787000,787000,0,TEPAT WAKTU,0
PAY0000215,LN000081,10,2024-08-10,2024-08-09,787000,787000,0,tepat waktu,0
PAY0000216,LN000081,11,2024-09-09,2024-09-19,787000,795000,8000,TERLAMBAT,10
PAY0000217,LN000082,1,2024-05-19,,Rp25607000,0,2033000,Default,128
PAY0000218,LN000082,2,2024-06-18,2024-06-13,25607000,25607000,0,On Time,0
PAY0000219,LN000082,3,2024-07-18,2024-08-29,25607000,26070000,463000,Terlambat,42
PAY0000220,LN000082,4,2024-08-17,,25607000,Rp 0,1944000,gagal bayar,68
PAY0000221,LN000082,5,2024-09-16,,25607000,7849000,1299000,Default,77
PAY0000222,LN000082,6,2024-10-16,,25607000,0,1595000,GAGAL BAYAR,78
PAY0000223,LN000082,7,2024-11-15,,25607000,9224000,2449000,Default,110
PAY0000224,LN000084,1,2023-07-16,2023-07-15,IDR 1946000,Rp. 1946000,0,Tepat Waktu,0
PAY0000225,LN000084,2,2023-08-15,2023-08-11,1946000,1946000,0,On Time,0
PAY0000226,LN000084,3,2023-09-14,2023-09-10,Rp 1946000,1946000,0,Tepat Waktu,0
PAY0000227,LN000084,4,2023-10-14,2023-10-12,1946000,Rp. 1946000,0,tepat waktu,0
PAY0000228,LN000084,5,2023-11-13,2023-11-13,IDR 1946000,1946000,0,Tepat Waktu,0
PAY0000229,LN000084,6,2023-12-13,2023-12-11,1946000,1946000,0,TEPAT WAKTU,0
PAY0000230,LN000084,7,2024-01-12,2024-01-10,IDR 1946000,1946000,0,tepat waktu,0
PAY0000231,LN000084,8,2024-02-11,2024-02-10,Rp. 1946000,1946000,0,On Time,0
PAY0000232,LN000084,9,2024-03-12,,1946000,Rp 0,181000,Gagal Bayar,87
PAY0000233,LN000084,10,2024-04-11,2024-04-07,Rp 1946000,1946000,0,TEPAT WAKTU,0
PAY0000234,LN000086,1,2024-02-28,2024-02-24,422000,422000,0,On Time,0
PAY0000235,LN000086,2,2024-03-29,2024-03-26,422000,422000,0,tepat waktu,0
PAY0000236,LN000086,3,2024-04-28,2024-04-28,422000,422000,0,Tepat Waktu,0
PAY0000237,LN000086,4,2024-05-28,2024-06-28,Rp. 422000,Rp431000,9000,terlambat,31
PAY0000238,LN000086,5,2024-06-27,2024-06-26,422000,422000,0,On Time,0
PAY0000239,LN000086,6,2024-07-27,2024-07-27,IDR 422000,Rp422000,0,tepat waktu,0
PAY0000240,LN000086,7,2024-08-26,2024-08-26,422000,Rp422000,0,Tepat Waktu,0
PAY0000241,LN000086,8,2024-09-25,2024-09-20,IDR 422000,Rp. 422000,0,TEPAT WAKTU,0
PAY0000242,LN000086,9,2024-10-25,2024-10-21,Rp422000,Rp 422000,0,TEPAT WAKTU,0
PAY0000243,LN000086,10,2024-11-24,2024-11-23,Rp 422000,IDR 422000,0,TEPAT WAKTU,0
PAY0000244,LN000086,11,2024-12-24,2024-12-22,Rp422000,422000,0,On Time,0
PAY0000245,LN000086,12,2025-01-23,2025-01-19,Rp422000,422000,0,tepat waktu,0
PAY0000246,LN000087,1,2025-04-13,2025-04-15,235000,247000,12000,terlambat,2
PAY0000247,LN000087,2,2025-05-13,2025-05-13,IDR 235000,235000,0,tepat waktu,0
PAY0000248,LN000092,1,2025-01-05,2024-12-31,Rp 42034000,IDR 42034000,0,On Time,0
PAY0000249,LN000092,2,2025-02-04,,Rp 42034000,0,3851000,GAGAL BAYAR,109
PAY0000250,LN000092,3,2025-03-06,2025-03-31,42034000,42593000,559000,Terlambat,25
PAY0000251,LN000093,1,2023-09-03,2023-08-31,Rp. 6693000,6693000,0,TEPAT WAKTU,0
PAY0000252,LN000093,2,2023-10-03,2023-09-28,6693000,6693000,0,Tepat Waktu,0
PAY0000253,LN000093,3,2023-11-02,2023-11-01,6693000,6693000,0,TEPAT WAKTU,0
PAY0000254,LN000093,4,2023-12-02,2023-12-01,6693000,Rp6693000,0,On Time,0
PAY0000255,LN000093,5,2024-01-01,2023-12-29,Rp6693000,6693000,0,Tepat Waktu,0
PAY0000256,LN000093,6,2024-01-31,2024-01-27,6693000,6693000,0,On Time,0
PAY0000257,LN000093,7,2024-03-01,2024-02-28,6693000,6693000,0,TEPAT WAKTU,0
PAY0000258,LN000093,8,2024-03-31,2024-03-30,6693000,Rp 6693000,0,On Time,0
PAY0000259,LN000094,1,2025-09-01,2025-08-28,1426000,1426000,0,tepat waktu,0
PAY0000260,LN000094,2,2025-10-01,2025-10-01,1426000,Rp1426000,0,tepat waktu,0
PAY0000261,LN000094,3,2025-10-31,2025-10-26,1426000,1426000,0,tepat waktu,0
PAY0000262,LN000094,4,2025-11-30,2025-11-30,IDR 1426000,1426000,0,TEPAT WAKTU,0
PAY0000263,LN000094,5,2025-12-30,2025-12-29,IDR 1426000,Rp1426000,0,TEPAT WAKTU,0
PAY0000264,LN000094,6,2026-01-29,2026-01-31,Rp 1426000,1480000,54000,Terlambat,2
PAY0000265,LN000094,7,2026-02-28,2026-02-23,1426000,1426000,0,Tepat Waktu,0
PAY0000266,LN000094,8,2026-03-30,2026-03-27,1426000,1426000,0,TEPAT WAKTU,0
PAY0000267,LN000098,1,2024-05-01,2024-05-01,IDR 6431000,6431000,0,TEPAT WAKTU,0
PAY0000268,LN000098,2,2024-05-31,2024-06-24,6431000,6627000,196000,TERLAMBAT,24
PAY0000269,LN000098,3,2024-06-30,2024-06-25,6431000,Rp. 6431000,0,Tepat Waktu,0
PAY0000270,LN000098,4,2024-07-30,2024-07-25,6431000,Rp 6431000,0,tepat waktu,0
PAY0000271,LN000098,5,2024-08-29,2024-08-29,6431000,6431000,0,Tepat Waktu,0
PAY0000272,LN000098,6,2024-09-28,2024-09-28,6431000,Rp6431000,0,On Time,0
PAY0000273,LN000098,7,2024-10-28,2024-10-28,6431000,6431000,0,tepat waktu,0
PAY0000274,LN000099,1,2023-10-10,2023-11-09,4825000,Rp 4965000,140000,Late,30
PAY0000275,LN000099,2,2023-11-09,2023-11-06,4825000,4825000,0,TEPAT WAKTU,0
PAY0000276,LN000099,3,2023-12-09,,4825000,1898000,325000,Default,167
PAY0000277,LN000099,4,2024-01-08,2024-01-07,Rp 4825000,4825000,0,TEPAT WAKTU,0
PAY0000278,LN000100,1,2024-06-09,,3463000,0,317000,GAGAL BAYAR,128
PAY0000279,LN000100,2,2024-07-09,2024-07-07,Rp3463000,3463000,0,tepat waktu,0
PAY0000280,LN000100,3,2024-08-08,2024-08-03,3463000,3463000,0,On Time,0
PAY0000281,LN000100,4,2024-09-07,2024-09-29,3463000,3528000,65000,TERLAMBAT,22
PAY0000282,LN000100,5,2024-10-07,2024-10-03,3463000,Rp 3463000,0,Tepat Waktu,0
PAY0000283,LN000100,6,2024-11-06,,3463000,1342000,226000,GAGAL BAYAR,80
PAY0000284,LN000100,7,2024-12-06,2024-12-03,3463000,3463000,0,tepat waktu,0
PAY0000285,LN000100,8,2025-01-05,2025-01-05,Rp 3463000,3463000,0,Tepat Waktu,0
