loan_id,applicant_id,tujuan_pinjaman,jumlah_pinjaman,tenor_bulan,suku_bunga_persen,angsuran_bulanan,tanggal_pengajuan,status_persetujuan,skor_kredit,agunan,nilai_agunan,flag_default
LN000092,APP00077,  Modal Usaha,473000000,12,12.04,42034000,2024-12-06,DISETUJUI,4,Ya,858100000,1
LN000093,APP00078,Renovasi Rumah,276300000,60,15.82,6693000,2023-08-04,Approved,2,Tidak,0,0
LN000094,APP00078, Pendidikan ,43900000,36,10.44,1426000,2025-08-02,disetujui,2,Tidak,0,0
LN000095,APP00079,Pendidikan,41000000,12,14.86,3698000,2023-01-22,DITOLAK,1,Tidak,0,
LN000096,APP00080,KPR,IDR 1131700000,240,14.41,14411000,2024-01-08,dalam proses,5,Ya,1880200000,
LN000097,APP00081,Konsumtif,3100000,24,14.98,150000,2025-06-25,Dalam Proses,4,Tidak,0,
LN000098,APP00081,Modal Usaha,Rp 325700000,60,6.88,6431000,2024-04-01,Disetujui,2,Ya,604200000,0
LN000099,APP00082,Konsumtif,Rp 27500000,6,17.85,4825000,2023-09-10,disetujui,2,Tidak,0,0
LN000100,APP00083,Kredit Multiguna,72200000,24,13.9,3463000,2024-05-10,Approved,1,Ya,111200000,0
LN000101,APP00084,KPR,1992100000,240,12.36,22437000,2024-06-13,ditolak,3,Ya,1599200000,
LN000102,APP00084,Pendidikan,IDR 63700000,48,9.2,1591000,2023-10-15,Ditolak,1,Tidak,0,
LN000103,APP00085,Kredit Tanpa Agunan,Rp22800000,24,11.9,1072000,2024-11-19,Disetujui,2,Tidak,0,0
LN000104,APP00086,Pendidikan,52000000,36,16.76,1848000,2025-12-20,DITOLAK,1,Tidak,0,
LN000105,APP00087,Pendidikan,49700000,12,11.24,4398000,2025-05-18,ditolak,3,Tidak,0,
LN000106,APP00087,KPR,691100000,300,17.36,10134000,2023-12-12,DISETUJUI,4,Ya,1313400000,1
LN000107,APP00088, Kredit Tanpa Agunan ,19000000,12,12.02,1688000,2025-08-24,Rejected,3,Tidak,0,
LN000108,APP00089,KKB,185100000,24,15.47,9016000,2025-01-11,Rejected,1,Ya,329600000,
LN000109,APP00090,  KKB,Rp 279300000,12,8.05,24302000,2024-01-10,Ditolak,2,Ya,381300000,
LN000110,APP00091, Konsumtif ,12500000,12,13.9,1122000,2023-11-04,Dalam Proses,1,Tidak,0,
LN000111,APP00092, Konsumtif ,14100000,12,9.77,1238000,2024-07-10,Disetujui,1,Tidak,0,0
LN000112,APP00093,Renovasi Rumah,237900000,60,6.71,4678000,2025-08-13,Approved,3,Tidak,0,0
LN000113,APP00094,Kredit Multiguna,23600000,24,16.28,1159000,2025-03-26,disetujui,2,Ya,40600000,0
LN000114,APP00095,Pendidikan,73100000,48,6.84,1745000,2024-05-02,Rejected,1,Tidak,0,
LN000115,APP00096,KKB,189400000,36,10.79,6182000,2023-11-11,Disetujui,2,Ya,168700000,0
LN000116,APP00097,Konsumtif,2200000,6,9.74,377000,2023-08-07,ditolak,2,Tidak,0,
LN000117,APP00098, Kredit Multiguna ,IDR 104100000,12,12.43,9270000,2023-04-05,disetujui,2,Ya,151900000,0
LN000118,APP00099,Konsumtif,2100000,12,12.48,187000,2024-02-09,Ditolak,2,Tidak,0,
LN000119,APP00099,Pendidikan,Rp76900000,36,16.89,2737000,2023-09-13,disetujui,4,Tidak,0,0
LN000120,APP00100,Konsumtif,13200000,12,8.94,1154000,2023-08-15,Pending,5,Tidak,0,
LN000121,APP00100,Modal Usaha  ,332900000,60,7.06,6601000,2023-09-24,Approved,1,Ya,636100000,0
LN000122,APP00101,Modal Usaha,427900000,60,14.21,10003000,2025-08-02,DISETUJUI,4,Ya,474700000,1
LN000123,APP00102,Konsumtif,19400000,12,7.14,1680000,2025-02-09,disetujui,1,Tidak,0,0
LN000124,APP00102,KPR,1993000000,120,12.97,29722000,2023-04-07,ditolak,1,Ya,3814000000,
LN000125,APP00103,Kredit Tanpa Agunan,8400000,6,14.37,1459000,2024-08-10,disetujui,1,Tidak,0,0
LN000126,APP00104,Kredit Multiguna,118900000,48,14.03,3251000,2023-10-11,Disetujui,1,Ya,117100000,0
LN000127,APP00105,KKB,435400000,36,17.0,15523000,2023-05-01,Dalam Proses,3,Ya,425800000,
LN000128,APP00106,Kredit Multiguna,58900000,48,9.04,1467000,2023-05-15,Disetujui,5,Ya,70300000,0
LN000129,APP00106,Renovasi Rumah,87600000,24,7.83,3955000,2024-11-06,ditolak,5,Tidak,0,
LN000130,APP00107,Modal Usaha,467800000,36,13.01,15764000,2025-04-30,dalam proses,2,Ya,641800000,
LN000131,APP00108,KPR,Rp 1895700000,120,7.16,22167000,2023-12-01,ditolak,2,Ya,3289500000,
LN000132,APP00108,Kredit Multiguna,172400000,60,5.21,3270000,2023-03-19,DITOLAK,3,Ya,227400000,
LN000133,APP00109,Konsumtif,Rp. 18900000,12,8.24,1646000,2024-10-27,disetujui,3,Tidak,0,1
LN000134,APP00110,Konsumtif,22100000,6,14.41,3840000,2023-05-06,ditolak,2,Tidak,0,
LN000135,APP00111,Renovasi Rumah,Rp. 144100000,60,12.64,3252000,2024-07-21,DISETUJUI,1,Tidak,0,0
LN000136,APP00112,Konsumtif  ,IDR 20700000,24,7.89,935000,2025-07-24,Disetujui,4,Tidak,0,0
LN000137,APP00113,  Modal Usaha  ,168800000,36,8.23,5308000,2024-03-02,Approved,5,Ya,220700000,1
LN000138,APP00113,Renovasi Rumah,Rp 31600000,36,7.48,983000,2025-07-28,Disetujui,1,Tidak,0,0
LN000139,APP00114,Kredit Multiguna,97700000,12,15.65,8848000,2025-09-25,DITOLAK,2,Ya,120000000,
LN000140,APP00115,KPR,Rp. 787100000,120,6.98,9131000,2024-09-04,DALAM PROSES,2,Ya,696900000,
LN000141,APP00116,Kredit Multiguna  ,IDR 96100000,24,11.64,4508000,2023-03-14,DALAM PROSES,3,Ya,85600000,
LN000142,APP00116,  KPR,950100000,120,14.48,15027000,2024-09-27,Rejected,1,Ya,1629000000,
LN000143,APP00117,Konsumtif,Rp. 27400000,12,9.65,2404000,2023-09-06,dalam proses,2,Tidak,0,
LN000144,APP00118,Kredit Tanpa Agunan  ,21500000,6,15.92,3752000,2025-05-31,DISETUJUI,2,Tidak,0,0
LN000145,APP00118,Kredit Tanpa Agunan,Rp 20900000,24,6.71,933000,2023-01-02,Approved,5,Tidak,0,1
LN000146,APP00119,Pendidikan,94600000,48,12.74,2526000,2025-08-01,Pending,1,Tidak,0,
LN000147,APP00120,KPR,1800200000,300,5.49,11044000,2023-04-01,disetujui,1,Ya,3069700000,0
LN000148,APP00121,KKB,IDR 338800000,60,7.69,6819000,2024-07-29,Ditolak,4,Ya,537900000,
LN000149,APP00122,Konsumtif,25700000,24,14.54,1240000,2023-07-01,Ditolak,3,Tidak,0,
LN000150,APP00123,KPR,1619100000,300,9.96,14667000,2025-03-30,Ditolak,2,Ya,1606800000,
LN000151,APP00123,Konsumtif  ,7200000,24,11.35,337000,2023-01-04,DITOLAK,5,Tidak,0,
LN000152,APP00124,  Modal Usaha,265900000,24,9.57,12217000,2024-08-02,Disetujui,2,Ya,444700000,0
LN000153,APP00125,Konsumtif,IDR 19500000,24,12.59,923000,2025-01-30,Approved,1,Tidak,0,0
LN000154,APP00125,KKB,189700000,48,11.25,4926000,2023-03-14,DALAM PROSES,2,Ya,269000000,
LN000155,APP00126,KKB,95100000,48,8.96,2365000,2025-06-01,Disetujui,3,Ya,166900000,0
LN000156,APP00126,KPR,1543900000,240,7.72,12646000,2023-10-28,disetujui,1,Ya,1882600000,0
LN000157,APP00127,Konsumtif,25600000,12,11.27,2266000,2024-05-10,disetujui,1,Tidak,0,0
LN000158,APP00128,KKB,249300000,36,12.12,8295000,2023-11-11,DISETUJUI,1,Ya,278000000,0
LN000159,APP00128,Pendidikan,Rp 48100000,12,13.56,4309000,2024-12-01,disetujui,5,Tidak,0,1
LN000160,APP00129,Konsumtif,15500000,24,10.96,722000,2025-12-01,Ditolak,1,Tidak,0,
LN000161,APP00130,Renovasi Rumah,153500000,24,15.04,7446000,2023-05-02,disetujui,2,Tidak,0,0
LN000162,APP00131,Konsumtif,25200000,24,8.61,1147000,2025-06-15,DALAM PROSES,2,Tidak,0,
LN000163,APP00131,Kredit Tanpa Agunan,31000000,12,11.66,2749000,2025-10-13,ditolak,2,Tidak,0,
LN000164,APP00132,Kredit Multiguna,Rp 131400000,36,13.21,4441000,2023-04-25,Approved,1,Ya,111000000,0
LN000165,APP00133,Konsumtif,Rp5400000,6,9.67,926000,2025-01-25,ditolak,3,Tidak,0,
LN000166,APP00134,KPR,923300000,60,10.37,19786000,2025-06-02,DISETUJUI,2,Ya,865800000,0
LN000167,APP00134,Renovasi Rumah,280900000,12,12.59,25035000,2025-02-20,DITOLAK,2,Tidak,0,
LN000168,APP00135, Renovasi Rumah ,182500000,36,7.02,5637000,2023-10-24,Approved,5,Tidak,0,0
LN000169,APP00135,Modal Usaha  ,408800000,12,8.18,35595000,2025-08-03,Disetujui,1,Ya,507100000,0
LN000170,APP00136,KPR,1693500000,120,9.94,22323000,2025-02-18,ditolak,4,Ya,3224600000,
LN000171,APP00136,Kredit Tanpa Agunan,5400000,36,6.11,165000,2024-06-24,Disetujui,3,Tidak,0,1
LN000172,APP00137,Kredit Multiguna,94600000,48,17.43,2751000,2023-10-20,DALAM PROSES,3,Ya,122100000,
LN000173,APP00137,KKB,74300000,24,8.4,3374000,2024-07-29,Disetujui,3,Ya,105400000,1
LN000174,APP00138,Pendidikan,Rp 16500000,24,7.04,739000,2023-08-26,DISETUJUI,2,Tidak,0,1
LN000175,APP00139,Renovasi Rumah,Rp 45600000,60,10.89,989000,2024-08-29,ditolak,2,Tidak,0,
LN000176,APP00140,Pendidikan,57300000,36,9.09,1825000,2023-09-14,DALAM PROSES,1,Tidak,0,
LN000177,APP00141,Konsumtif,26300000,12,5.36,2256000,2024-03-15,Pending,5,Tidak,0,
LN000178,APP00141,KPR,Rp1497700000,120,8.21,18338000,2023-08-07,Rejected,2,Ya,2940900000,
LN000179,APP00142,KKB,52300000,48,5.22,1210000,2023-12-10,DISETUJUI,4,Ya,63800000,0
LN000180,APP00142,Konsumtif,15300000,6,6.14,2596000,2023-03-16,Disetujui,5,Tidak,0,0
LN000181,APP00143,Modal Usaha,232700000,12,10.05,20463000,2024-08-14,Approved,1,Ya,267300000,0
LN000182,APP00144,Renovasi Rumah  ,293100000,36,11.72,9696000,2025-08-15,Approved,3,Tidak,0,0
LN000183,APP00144,Konsumtif,2100000,6,10.78,361000,2024-03-30,ditolak,1,Tidak,0,
LN000184,APP00145,KPR,1153800000,300,6.34,7676000,2023-06-01,Disetujui,2,Ya,1973800000,0
LN000185,APP00145,Kredit Multiguna,34900000,36,8.73,1105000,2023-06-26,dalam proses,4,Ya,41900000,
LN000186,APP00146,Renovasi Rumah,238600000,36,9.86,7683000,2023-11-28,disetujui,5,Tidak,0,1
LN000187,APP00147,KPR,1825900000,60,9.04,37938000,2024-01-04,Approved,2,Ya,2223200000,0
LN000188,APP00148,Konsumtif,9900000,6,17.93,1737000,2024-03-19,dalam proses,4,Tidak,0,
LN000189,APP00149,Konsumtif,26100000,24,6.98,1168000,2024-02-06,Rejected,4,Tidak,0,
LN000190,APP00150,Modal Usaha  ,468600000,24,16.25,23000000,2025-03-05,ditolak,3,Ya,521500000,
LN000191,APP00150,Renovasi Rumah,127800000,12,16.63,11634000,2025-09-13,DALAM PROSES,2,Tidak,0,
LN000192,APP00151,KKB,306500000,24,15.72,14966000,2025-08-05,Rejected,1,Ya,508900000,
LN000193,APP00152,Modal Usaha,Rp490800000,36,14.75,16954000,2025-03-16,DISETUJUI,1,Ya,741600000,0
LN000194,APP00153,Pendidikan,53400000,48,5.06,1231000,2024-04-17,Ditolak,1,Tidak,0,
LN000195,APP00154,  Kredit Tanpa Agunan,Rp 31700000,12,9.71,2783000,2023-09-16,ditolak,4,Tidak,0,
LN000196,APP00155,KPR,Rp 215200000,60,13.67,4971000,2023-08-16,Ditolak,3,Ya,193600000,
LN000197,APP00156,Konsumtif,Rp8500000,24,8.35,386000,2024-05-31,Dalam Proses,3,Tidak,0,
LN000198,APP00156,Modal Usaha,20600000,12,13.74,1847000,2025-11-14,Disetujui,3,Ya,29600000,0
LN000199,APP00157, Kredit Tanpa Agunan ,37100000,12,7.56,3220000,2024-03-22,Approved,1,Tidak,0,0
LN000200,APP00157, Modal Usaha ,357200000,60,16.13,8711000,2025-01-13,dalam proses,3,Ya,315900000,
LN000201,APP00158,KPR,Rp 1081900000,120,14.76,17296000,2025-12-13,ditolak,2,Ya,1238700000,
LN000202,APP00158,KPR,534000000,120,10.37,7167000,2023-08-27,Ditolak,2,Ya,580200000,
LN000203,APP00159,Konsumtif,16600000,12,5.19,1423000,2024-05-14,disetujui,3,Tidak,0,0
LN000204,APP00160,Kredit Multiguna,IDR 153300000,24,16.51,7543000,2025-04-03,DITOLAK,4,Ya,154800000,
LN000205,APP00160,Pendidikan,27200000,24,9.07,1243000,2025-04-28,ditolak,1,Tidak,0,
LN000206,APP00161,  Kredit Tanpa Agunan,41400000,36,11.59,1367000,2023-08-26,Disetujui,3,Tidak,0,0
LN000207,APP00161,Pendidikan,Rp 80400000,48,11.23,2087000,2024-11-14,Approved,1,Tidak,0,0
LN000208,APP00162,Kredit Multiguna,139200000,60,11.23,3043000,2023-04-17,Approved,2,Ya,127700000,0
LN000209,APP00163,Konsumtif,7600000,6,10.36,1305000,2025-03-23,Disetujui,1,Tidak,0,0
LN000210,APP00163,Kredit Multiguna,177100000,36,9.48,5671000,2025-09-29,DISETUJUI,1,Ya,238500000,0
LN000211,APP00164,Pendidikan  ,51500000,12,12.34,4584000,2023-10-27,disetujui,2,Tidak,0,0
LN000212,APP00164,Kredit Tanpa Agunan,35600000,6,7.84,6070000,2025-12-16,Disetujui,5,Tidak,0,1
LN000213,APP00165,  Pendidikan,79600000,36,14.49,2740000,2023-11-25,disetujui,1,Tidak,0,1
LN000214,APP00166,Kredit Multiguna,165200000,24,13.17,7867000,2023-10-13,Ditolak,1,Ya,312400000,
LN000215,APP00167,Modal Usaha,64700000,24,13.28,3084000,2024-04-15,ditolak,5,Ya,111000000,
LN000216,APP00167,KPR,1213500000,120,5.09,12924000,2025-07-08,Ditolak,2,Ya,1171400000,
LN000217,APP00168,Kredit Multiguna,141500000,60,14.08,3298000,2024-03-04,DITOLAK,1,Ya,139900000,
LN000218,APP00169,KPR,239300000,180,16.51,3600000,2023-03-08,ditolak,3,Ya,389200000,
LN000219,APP00170, Kredit Multiguna ,65800000,12,5.17,5638000,2025-05-06,disetujui,2,Ya,62800000,0
LN000220,APP00171,Modal Usaha,379500000,36,13.88,12948000,2024-07-16,disetujui,2,Ya,671100000,0
LN000221,APP00172,KPR,1501700000,60,16.33,36782000,2025-03-22,DISETUJUI,2,Ya,2822900000,0
LN000222,APP00172,KPR  ,734100000,120,16.16,12370000,2024-06-04,Approved,4,Ya,643900000,1
LN000223,APP00173,Renovasi Rumah,175800000,36,12.18,5854000,2023-07-24,Approved,3,Tidak,0,0
LN000224,APP00174,Kredit Multiguna,148400000,12,12.62,13228000,2024-08-28,Approved,2,Ya,175300000,1
LN000225,APP00174,KKB,Rp442300000,24,6.59,19721000,2023-11-29,Ditolak,2,Ya,724400000,
LN000226,APP00175,Modal Usaha,264800000,60,13.27,6062000,2024-04-26,Approved,1,Ya,230000000,0
LN000227,APP00176,Pendidikan,95800000,24,12.75,4543000,2023-04-06,DITOLAK,1,Tidak,0,
LN000228,APP00177,Kredit Tanpa Agunan,17200000,36,10.79,561000,2023-12-29,disetujui,1,Tidak,0,0
LN000229,APP00178,Pendidikan,76600000,12,14.19,6885000,2025-08-22,disetujui,2,Tidak,0,1
LN000230,APP00179,  Modal Usaha,217600000,36,17.48,7810000,2024-08-27,DITOLAK,2,Ya,403700000,
LN000231,APP00180,Konsumtif,12800000,12,11.45,1134000,2023-06-30,Disetujui,1,Tidak,0,0
LN000232,APP00181,Pendidikan,Rp67800000,48,17.63,1979000,2025-06-24,Pending,1,Tidak,0,
LN000233,APP00182,Pendidikan,76200000,48,16.85,2193000,2023-03-21,ditolak,1,Tidak,0,
LN000234,APP00183,Modal Usaha,Rp 128100000,60,14.22,2995000,2025-02-08,disetujui,4,Ya,132600000,0
LN000235,APP00184,Konsumtif,11400000,12,16.73,1038000,2023-08-28,Rejected,3,Tidak,0,
LN000236,APP00185,Kredit Multiguna,IDR 135200000,12,13.23,12090000,2024-11-03,Rejected,5,Ya,256200000,
LN000237,APP00186,Pendidikan,24500000,36,14.54,844000,2025-11-14,Approved,3,Tidak,0,0
LN000238,APP00187,Modal Usaha,47500000,12,13.39,4251000,2025-08-21,DISETUJUI,2,Ya,73100000,0
LN000239,APP00188,Pendidikan,67100000,36,16.3,2369000,2024-09-26,disetujui,4,Tidak,0,1
LN000240,APP00188,Kredit Tanpa Agunan,14100000,36,13.32,477000,2024-12-04,Disetujui,1,Tidak,0,0
LN000241,APP00189,KPR,1918700000,180,8.24,18603000,2025-11-21,Disetujui,3,Ya,2293400000,0
LN000242,APP00190,Kredit Tanpa Agunan,29400000,24,10.86,1368000,2024-04-01,Dalam Proses,2,Tidak,0,
